Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EM","Emissions shares","100","India","726313","Share of total emissions (AR5)","1711","Agriculture total","2001","2001","%","31.9832","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","726313","Share of total emissions (AR5)","1711","Agriculture total","2002","2002","%","31.1317","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","726313","Share of total emissions (AR5)","1711","Agriculture total","2003","2003","%","30.6716","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","726313","Share of total emissions (AR5)","1711","Agriculture total","2004","2004","%","29.8848","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","726313","Share of total emissions (AR5)","1711","Agriculture total","2005","2005","%","29.6273","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","726313","Share of total emissions (AR5)","1711","Agriculture total","2006","2006","%","28.8885","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","726313","Share of total emissions (AR5)","1711","Agriculture total","2007","2007","%","28.2069","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","726313","Share of total emissions (AR5)","1711","Agriculture total","2008","2008","%","26.5835","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","726313","Share of total emissions (AR5)","1711","Agriculture total","2009","2009","%","24.6028","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","726313","Share of total emissions (AR5)","1711","Agriculture total","2010","2010","%","24.9809","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","726313","Share of total emissions (AR5)","1711","Agriculture total","2011","2011","%","24.2383","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","726313","Share of total emissions (AR5)","1711","Agriculture total","2012","2012","%","22.7109","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","726313","Share of total emissions (AR5)","1711","Agriculture total","2013","2013","%","22.6076","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","726313","Share of total emissions (AR5)","1711","Agriculture total","2014","2014","%","21.2227","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","726313","Share of total emissions (AR5)","1711","Agriculture total","2015","2015","%","20.7208","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","726313","Share of total emissions (AR5)","1711","Agriculture total","2016","2016","%","20.2508","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","726313","Share of total emissions (AR5)","1711","Agriculture total","2017","2017","%","19.8887","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","726314","Share of total emissions (AR4)","1711","Agriculture total","2000","2000","%","31.0445","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","726314","Share of total emissions (AR4)","1711","Agriculture total","2001","2001","%","31.1116","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","726314","Share of total emissions (AR4)","1711","Agriculture total","2002","2002","%","30.2568","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","726314","Share of total emissions (AR4)","1711","Agriculture total","2003","2003","%","29.8232","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","726314","Share of total emissions (AR4)","1711","Agriculture total","2004","2004","%","29.0593","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","726314","Share of total emissions (AR4)","1711","Agriculture total","2005","2005","%","28.8239","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","726314","Share of total emissions (AR4)","1711","Agriculture total","2006","2006","%","28.1153","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","726314","Share of total emissions (AR4)","1711","Agriculture total","2007","2007","%","27.4496","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","726314","Share of total emissions (AR4)","1711","Agriculture total","2008","2008","%","25.843","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","726314","Share of total emissions (AR4)","1711","Agriculture total","2009","2009","%","23.9192","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","726314","Share of total emissions (AR4)","1711","Agriculture total","2010","2010","%","24.3195","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","726314","Share of total emissions (AR4)","1711","Agriculture total","2011","2011","%","23.5978","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","726314","Share of total emissions (AR4)","1711","Agriculture total","2012","2012","%","22.0786","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","726314","Share of total emissions (AR4)","1711","Agriculture total","2013","2013","%","21.9747","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","726314","Share of total emissions (AR4)","1711","Agriculture total","2014","2014","%","20.6105","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","726314","Share of total emissions (AR4)","1711","Agriculture total","2015","2015","%","20.1263","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","726314","Share of total emissions (AR4)","1711","Agriculture total","2016","2016","%","19.6516","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","726314","Share of total emissions (AR4)","1711","Agriculture total","2017","2017","%","19.2996","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","7264","Share of total CO2 emissions","1711","Agriculture total","2000","2000","%","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","7264","Share of total CO2 emissions","1711","Agriculture total","2001","2001","%","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","7264","Share of total CO2 emissions","1711","Agriculture total","2002","2002","%","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","7264","Share of total CO2 emissions","1711","Agriculture total","2003","2003","%","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","7264","Share of total CO2 emissions","1711","Agriculture total","2004","2004","%","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","7264","Share of total CO2 emissions","1711","Agriculture total","2005","2005","%","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","7264","Share of total CO2 emissions","1711","Agriculture total","2006","2006","%","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","7264","Share of total CO2 emissions","1711","Agriculture total","2007","2007","%","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","7264","Share of total CO2 emissions","1711","Agriculture total","2008","2008","%","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","7264","Share of total CO2 emissions","1711","Agriculture total","2009","2009","%","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","7264","Share of total CO2 emissions","1711","Agriculture total","2010","2010","%","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","7264","Share of total CO2 emissions","1711","Agriculture total","2011","2011","%","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","7264","Share of total CO2 emissions","1711","Agriculture total","2012","2012","%","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","7264","Share of total CO2 emissions","1711","Agriculture total","2013","2013","%","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","7264","Share of total CO2 emissions","1711","Agriculture total","2014","2014","%","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","7264","Share of total CO2 emissions","1711","Agriculture total","2015","2015","%","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","7264","Share of total CO2 emissions","1711","Agriculture total","2016","2016","%","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","7264","Share of total CO2 emissions","1711","Agriculture total","2017","2017","%","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","7265","Share of total CH4 emissions","1711","Agriculture total","2000","2000","%","66.6791","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","7265","Share of total CH4 emissions","1711","Agriculture total","2001","2001","%","66.2885","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","7265","Share of total CH4 emissions","1711","Agriculture total","2002","2002","%","65.2987","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","7265","Share of total CH4 emissions","1711","Agriculture total","2003","2003","%","64.8774","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","7265","Share of total CH4 emissions","1711","Agriculture total","2004","2004","%","64.391","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","7265","Share of total CH4 emissions","1711","Agriculture total","2005","2005","%","64.4385","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","7265","Share of total CH4 emissions","1711","Agriculture total","2006","2006","%","64.0943","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","7265","Share of total CH4 emissions","1711","Agriculture total","2007","2007","%","64.0188","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","7265","Share of total CH4 emissions","1711","Agriculture total","2008","2008","%","63.4875","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","7265","Share of total CH4 emissions","1711","Agriculture total","2009","2009","%","61.6971","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","7265","Share of total CH4 emissions","1711","Agriculture total","2010","2010","%","61.4698","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","7265","Share of total CH4 emissions","1711","Agriculture total","2011","2011","%","61.5718","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","7265","Share of total CH4 emissions","1711","Agriculture total","2012","2012","%","61.0591","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","7265","Share of total CH4 emissions","1711","Agriculture total","2013","2013","%","60.5688","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","7265","Share of total CH4 emissions","1711","Agriculture total","2014","2014","%","60.0353","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","7265","Share of total CH4 emissions","1711","Agriculture total","2015","2015","%","59.5317","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","7265","Share of total CH4 emissions","1711","Agriculture total","2016","2016","%","59.2401","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","7265","Share of total CH4 emissions","1711","Agriculture total","2017","2017","%","58.9159","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","7266","Share of total N2O emissions","1711","Agriculture total","2000","2000","%","81.7904","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","7266","Share of total N2O emissions","1711","Agriculture total","2001","2001","%","82.0088","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","7266","Share of total N2O emissions","1711","Agriculture total","2002","2002","%","81.2079","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","7266","Share of total N2O emissions","1711","Agriculture total","2003","2003","%","81.3078","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","7266","Share of total N2O emissions","1711","Agriculture total","2004","2004","%","81.031","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","7266","Share of total N2O emissions","1711","Agriculture total","2005","2005","%","81.5321","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","7266","Share of total N2O emissions","1711","Agriculture total","2006","2006","%","81.4967","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","7266","Share of total N2O emissions","1711","Agriculture total","2007","2007","%","81.4064","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","7266","Share of total N2O emissions","1711","Agriculture total","2008","2008","%","80.9298","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","7266","Share of total N2O emissions","1711","Agriculture total","2009","2009","%","80.098","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","7266","Share of total N2O emissions","1711","Agriculture total","2010","2010","%","80.5016","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","7266","Share of total N2O emissions","1711","Agriculture total","2011","2011","%","80.5341","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","7266","Share of total N2O emissions","1711","Agriculture total","2012","2012","%","79.7055","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","7266","Share of total N2O emissions","1711","Agriculture total","2013","2013","%","79.728","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","7266","Share of total N2O emissions","1711","Agriculture total","2014","2014","%","79.3601","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","7266","Share of total N2O emissions","1711","Agriculture total","2015","2015","%","79.2011","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","7266","Share of total N2O emissions","1711","Agriculture total","2016","2016","%","78.6271","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","7266","Share of total N2O emissions","1711","Agriculture total","2017","2017","%","78.4379","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","7179","Share of  total F-gases emissions","1711","Agriculture total","2000","2000","%","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","7179","Share of  total F-gases emissions","1711","Agriculture total","2001","2001","%","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","7179","Share of  total F-gases emissions","1711","Agriculture total","2002","2002","%","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","7179","Share of  total F-gases emissions","1711","Agriculture total","2003","2003","%","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","7179","Share of  total F-gases emissions","1711","Agriculture total","2004","2004","%","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","7179","Share of  total F-gases emissions","1711","Agriculture total","2005","2005","%","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","7179","Share of  total F-gases emissions","1711","Agriculture total","2006","2006","%","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","7179","Share of  total F-gases emissions","1711","Agriculture total","2007","2007","%","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","7179","Share of  total F-gases emissions","1711","Agriculture total","2008","2008","%","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","7179","Share of  total F-gases emissions","1711","Agriculture total","2009","2009","%","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","7179","Share of  total F-gases emissions","1711","Agriculture total","2010","2010","%","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","7179","Share of  total F-gases emissions","1711","Agriculture total","2011","2011","%","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","7179","Share of  total F-gases emissions","1711","Agriculture total","2012","2012","%","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","7179","Share of  total F-gases emissions","1711","Agriculture total","2013","2013","%","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","7179","Share of  total F-gases emissions","1711","Agriculture total","2014","2014","%","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","7179","Share of  total F-gases emissions","1711","Agriculture total","2015","2015","%","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","7179","Share of  total F-gases emissions","1711","Agriculture total","2016","2016","%","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","7179","Share of  total F-gases emissions","1711","Agriculture total","2017","2017","%","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","723112","Emissions (CO2eq) (SAR)","1711","Agriculture total","2000","2000","gigagrams","551411.2738","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","723112","Emissions (CO2eq) (SAR)","1711","Agriculture total","2001","2001","gigagrams","556365.0716","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","723112","Emissions (CO2eq) (SAR)","1711","Agriculture total","2002","2002","gigagrams","541552.5219","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","723112","Emissions (CO2eq) (SAR)","1711","Agriculture total","2003","2003","gigagrams","552698.5277","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","723112","Emissions (CO2eq) (SAR)","1711","Agriculture total","2004","2004","gigagrams","561958.8162","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","723112","Emissions (CO2eq) (SAR)","1711","Agriculture total","2005","2005","gigagrams","579795.6201","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","723112","Emissions (CO2eq) (SAR)","1711","Agriculture total","2006","2006","gigagrams","593830.2796","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","723112","Emissions (CO2eq) (SAR)","1711","Agriculture total","2007","2007","gigagrams","609956.1037","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","723112","Emissions (CO2eq) (SAR)","1711","Agriculture total","2008","2008","gigagrams","616956.1788","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","723112","Emissions (CO2eq) (SAR)","1711","Agriculture total","2009","2009","gigagrams","612861.0378","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","723112","Emissions (CO2eq) (SAR)","1711","Agriculture total","2010","2010","gigagrams","622524.6722","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","723112","Emissions (CO2eq) (SAR)","1711","Agriculture total","2011","2011","gigagrams","632510.6126","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","723112","Emissions (CO2eq) (SAR)","1711","Agriculture total","2012","2012","gigagrams","626978.2346","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","723112","Emissions (CO2eq) (SAR)","1711","Agriculture total","2013","2013","gigagrams","628825.9571","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","723112","Emissions (CO2eq) (SAR)","1711","Agriculture total","2014","2014","gigagrams","630308.0359","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","723112","Emissions (CO2eq) (SAR)","1711","Agriculture total","2015","2015","gigagrams","630960.9553","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","723112","Emissions (CO2eq) (SAR)","1711","Agriculture total","2016","2016","gigagrams","634114.5316","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","723112","Emissions (CO2eq) (SAR)","1711","Agriculture total","2017","2017","gigagrams","639416.2177","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","723113","Emissions (CO2eq) (AR5)","1711","Agriculture total","2000","2000","gigagrams","654830.6154","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","723113","Emissions (CO2eq) (AR5)","1711","Agriculture total","2001","2001","gigagrams","659848.1026","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","723113","Emissions (CO2eq) (AR5)","1711","Agriculture total","2002","2002","gigagrams","643559.1272","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","723113","Emissions (CO2eq) (AR5)","1711","Agriculture total","2003","2003","gigagrams","655279.0457","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","723113","Emissions (CO2eq) (AR5)","1711","Agriculture total","2004","2004","gigagrams","664942.5145","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","723113","Emissions (CO2eq) (AR5)","1711","Agriculture total","2005","2005","gigagrams","684578.0175","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","723113","Emissions (CO2eq) (AR5)","1711","Agriculture total","2006","2006","gigagrams","699166.3921","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","723113","Emissions (CO2eq) (AR5)","1711","Agriculture total","2007","2007","gigagrams","716743.4567","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","723113","Emissions (CO2eq) (AR5)","1711","Agriculture total","2008","2008","gigagrams","724521.0942","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","723113","Emissions (CO2eq) (AR5)","1711","Agriculture total","2009","2009","gigagrams","717343.6873","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","723113","Emissions (CO2eq) (AR5)","1711","Agriculture total","2010","2010","gigagrams","726789.947","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","723113","Emissions (CO2eq) (AR5)","1711","Agriculture total","2011","2011","gigagrams","736686.5272","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","723113","Emissions (CO2eq) (AR5)","1711","Agriculture total","2012","2012","gigagrams","730732.7468","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","723113","Emissions (CO2eq) (AR5)","1711","Agriculture total","2013","2013","gigagrams","733528.9638","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","723113","Emissions (CO2eq) (AR5)","1711","Agriculture total","2014","2014","gigagrams","734837.0847","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","723113","Emissions (CO2eq) (AR5)","1711","Agriculture total","2015","2015","gigagrams","734720.9097","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","723113","Emissions (CO2eq) (AR5)","1711","Agriculture total","2016","2016","gigagrams","739549.3083","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","723113","Emissions (CO2eq) (AR5)","1711","Agriculture total","2017","2017","gigagrams","745345.3947","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","723114","Emissions (CO2eq) (AR4)","1711","Agriculture total","2000","2000","gigagrams","617940.0507","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","723114","Emissions (CO2eq) (AR4)","1711","Agriculture total","2001","2001","gigagrams","623077.0232","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","723114","Emissions (CO2eq) (AR4)","1711","Agriculture total","2002","2002","gigagrams","607100.8035","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","723114","Emissions (CO2eq) (AR4)","1711","Agriculture total","2003","2003","gigagrams","618865.2023","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","723114","Emissions (CO2eq) (AR4)","1711","Agriculture total","2004","2004","gigagrams","628603.9925","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","723114","Emissions (CO2eq) (AR4)","1711","Agriculture total","2005","2005","gigagrams","647852.0299","A","Aggregate, may include official, semi-official, estimated or calculated data"
